data_set_id,primary_injection_structure_id,primary_injection_structure_acronym,secondary_injection_structure_id,secondary_injection_acronym,mouse_line_name,grid_file_url,projection_structure_unionizes_file_url
294005186,351,BST,"{342,1109,596,523,515,351,263,226}","{SI,PS,NDB,MPO,MPN,BST,AVP,LPO}",Gad2-IRES-Cre,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294005186_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294005186_projection_structure_unionizes.csv
294040662,38,PVH,"{523,452,38,149,181}","{MPO,MEPO,PVH,PVT,RE}",Gad2-IRES-Cre,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294040662_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294040662_projection_structure_unionizes.csv
294173584,852,PARN,"{136,852}","{IRN,PARN}",Slc17a6-IRES-Cre,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294173584_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294173584_projection_structure_unionizes.csv
294174290,4,IC,"{4,294}","{IC,SCm}",Slc17a6-IRES-Cre,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294174290_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294174290_projection_structure_unionizes.csv
294174996,619,NLOT,{619},{NLOT},Slc17a6-IRES-Cre,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294174996_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294174996_projection_structure_unionizes.csv
294175704,294,SCm,"{795,634,531,1061,294}","{PAG,NPC,MPT,PPT,SCm}",Slc17a6-IRES-Cre,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294175704_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294175704_projection_structure_unionizes.csv
294199114,828,ICe,"{828,616,271,128,874}","{ICe,CUN,SAG,MRN,PBG}",Slc17a6-IRES-Cre,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294199114_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294199114_projection_structure_unionizes.csv
294311830,723,ORBl,"{993,746,723}","{MOs,ORBvl,ORBl}",Oxtr-Cre_ON66,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294311830_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294311830_projection_structure_unionizes.csv
294312537,385,VISp,{385},{VISp},Oxtr-Cre_ON66,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294312537_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294312537_projection_structure_unionizes.csv
294313246,159,AON,"{746,952,961,159}","{ORBvl,EPd,PIR,AON}",Tac1-IRES2-Cre,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294313246_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294313246_projection_structure_unionizes.csv
